Fe,Co,Cr,Ni,Al,Ti
15,13,15,48,3,6
21,21,13,34,5,6
22,13,13,37,7,8
18,27,12,36,3,4
21,20,9,42,3,5
15,23,22,35,2,3
16,23,21,35,2,3
17,26,12,37,3,5
23,20,20,35,1,1
23,19,20,36,1,1
23,18,20,37,1,1
25,22,10,37,4,2
22,22,18,29,2,7
21,22,18,30,6,3
25,17,10,33,7,8
25,18,9,33,7,8
25,16,10,34,7,8
25,17,9,34,7,8
25,15,10,35,7,8
25,16,9,35,7,8
25,14,10,36,7,8
25,15,9,36,7,8
25,21,12,25,10,7
25,21,12,26,10,6
25,21,11,26,10,7
25,21,11,27,10,6
24,20,16,26,7,7
24,20,16,27,7,6
24,19,16,27,7,7
24,19,16,28,7,6
24,18,16,28,7,7
25,21,21,28,4,1
20,30,10,34,1,5
20,29,10,35,1,5
20,30,9,35,1,5
23,26,12,29,4,6
23,25,12,29,4,7
23,25,12,30,4,6
23,24,12,30,4,7
23,24,12,31,4,6
22,13,16,38,7,4
20,17,19,38,1,5
22,15,13,36,7,7
21,19,15,35,3,7
25,20,12,29,7,7
25,20,12,30,7,6
25,19,12,30,7,7
25,20,11,30,7,7
25,19,12,31,7,6
25,20,11,31,7,6
25,18,12,31,7,7
25,19,11,31,7,7
25,18,12,32,7,6
25,19,11,32,7,6
25,18,11,32,7,7
22,15,14,38,5,6
22,14,14,39,5,6
22,13,14,40,5,6
20,25,10,38,2,5
20,26,9,38,2,5
21,22,11,41,2,3
18,13,23,38,2,6
18,14,22,38,2,6
18,15,21,38,2,6
18,13,22,39,2,6
18,14,21,39,2,6
18,13,21,40,2,6
18,30,16,29,1,6
22,27,12,30,1,8
21,21,23,22,8,5
21,21,22,23,8,5
21,21,21,24,8,5
22,13,14,36,8,7
22,16,13,36,7,6
22,30,16,24,5,3
22,29,16,25,5,3
22,28,16,26,5,3
22,27,16,27,5,3
22,26,16,28,5,3
21,25,11,35,3,5
24,24,17,30,3,2
21,21,16,35,1,6
22,21,8,39,8,2
22,22,7,39,8,2
15,14,25,38,2,6
15,15,24,38,2,6
15,16,23,38,2,6
15,17,22,38,2,6
16,13,25,38,2,6
16,14,24,38,2,6
16,15,23,38,2,6
16,16,22,38,2,6
16,17,21,38,2,6
17,13,24,38,2,6
17,14,23,38,2,6
17,15,22,38,2,6
17,16,21,38,2,6
15,13,25,39,2,6
15,14,24,39,2,6
15,15,23,39,2,6
15,16,22,39,2,6
15,17,21,39,2,6
16,13,24,39,2,6
16,14,23,39,2,6
16,15,22,39,2,6
16,16,21,39,2,6
17,13,23,39,2,6
17,14,22,39,2,6
17,15,21,39,2,6
15,13,24,40,2,6
15,14,23,40,2,6
15,15,22,40,2,6
15,16,21,40,2,6
16,13,23,40,2,6
16,14,22,40,2,6
16,15,21,40,2,6
17,13,22,40,2,6
17,14,21,40,2,6
15,13,23,41,2,6
15,14,22,41,2,6
15,15,21,41,2,6
16,13,22,41,2,6
16,14,21,41,2,6
17,13,21,41,2,6
21,27,8,32,10,2
25,22,10,29,9,5
25,22,10,30,9,4
25,22,9,30,9,5
25,22,9,31,9,4
25,23,12,23,9,8
25,23,11,24,9,8
20,23,8,40,7,2
20,22,8,41,7,2
20,23,7,41,7,2
22,19,20,29,5,5
22,21,19,29,5,4
15,24,23,30,2,6
15,25,22,30,2,6
15,26,21,30,2,6
16,24,22,30,2,6
16,25,21,30,2,6
17,24,21,30,2,6
17,27,8,41,6,1
22,15,13,38,5,7
22,14,13,39,5,7
22,13,13,40,5,7
25,23,10,28,9,5
22,14,14,36,8,6
22,23,20,26,1,8
19,15,16,42,3,5
20,14,16,42,3,5
19,14,16,43,3,5
20,13,16,43,3,5
19,13,16,44,3,5
25,13,16,31,9,6
22,26,16,29,4,3
22,25,16,30,4,3
21,22,15,34,2,6
24,28,10,33,4,1
23,21,10,43,2,1
23,21,9,44,2,1
18,29,10,36,3,4
18,30,9,36,3,4
19,29,9,36,3,4
18,29,9,37,3,4
18,25,11,39,2,5
22,15,13,38,6,6
22,14,13,39,6,6
22,13,13,40,6,6
21,22,10,42,2,3
21,22,9,43,2,3
21,30,16,24,4,5
21,29,16,25,4,5
21,28,16,26,4,5
21,27,16,27,4,5
21,26,16,28,4,5
21,22,11,40,3,3
25,18,9,37,5,6
16,17,20,36,3,8
17,16,20,36,3,8
18,15,20,36,3,8
15,17,20,37,3,8
16,16,20,37,3,8
17,15,20,37,3,8
18,14,20,37,3,8
19,28,10,37,2,4
20,30,14,29,1,6
20,28,9,36,3,4
25,13,16,31,10,5
25,16,12,33,10,4
25,17,11,33,10,4
25,15,12,34,10,4
25,16,11,34,10,4
25,14,12,35,10,4
25,15,11,35,10,4
25,14,16,32,8,5
25,13,16,33,8,5
25,15,16,31,8,5
21,20,20,28,6,5
23,18,20,22,9,8
20,25,10,39,2,4
20,26,9,39,2,4
20,25,9,40,2,4
25,17,10,36,5,7
23,24,11,39,2,1
18,27,12,36,2,5
23,27,9,38,2,1
21,30,13,25,4,7
21,29,13,26,4,7
21,28,13,27,4,7
21,27,13,28,4,7
21,21,17,29,7,5
21,20,20,31,1,7
21,19,20,32,1,7
21,23,11,38,3,4
25,22,12,23,10,8
25,22,11,24,10,8
25,30,14,22,8,1
25,29,14,23,8,1
20,23,8,39,8,2
20,22,8,40,8,2
20,23,7,40,8,2
20,21,8,41,8,2
20,22,7,41,8,2
21,27,19,22,3,8
21,28,18,22,3,8
21,29,17,22,3,8
21,26,19,23,3,8
21,27,18,23,3,8
21,28,17,23,3,8
21,25,19,24,3,8
21,26,18,24,3,8
21,27,17,24,3,8
21,24,19,25,3,8
21,25,18,25,3,8
21,26,17,25,3,8
21,24,18,26,3,8
21,25,17,26,3,8
21,24,17,27,3,8
25,25,12,29,7,2
25,26,11,29,7,2
25,24,12,30,7,2
25,25,11,30,7,2
25,24,11,31,7,2
24,20,16,28,5,7
25,22,10,28,10,5
25,26,10,32,5,2
15,15,25,36,5,4
15,16,24,36,5,4
15,17,23,36,5,4
16,14,25,36,5,4
16,15,24,36,5,4
16,16,23,36,5,4
16,17,22,36,5,4
17,13,25,36,5,4
17,14,24,36,5,4
17,15,23,36,5,4
17,16,22,36,5,4
17,17,21,36,5,4
19,24,18,31,1,7
19,25,17,31,1,7
20,24,17,31,1,7
19,24,17,32,1,7
24,22,11,34,4,5
21,22,9,42,3,3
25,21,12,26,9,7
25,21,12,27,9,6
25,21,11,27,9,7
25,21,11,28,9,6
19,30,11,34,1,5
18,30,11,35,1,5
19,29,11,35,1,5
23,28,11,25,5,8
19,25,25,22,1,8
19,26,24,22,1,8
19,27,23,22,1,8
19,28,22,22,1,8
19,29,21,22,1,8
19,30,20,22,1,8
20,24,25,22,1,8
20,25,24,22,1,8
20,26,23,22,1,8
20,27,22,22,1,8
20,28,21,22,1,8
20,29,20,22,1,8
19,24,25,23,1,8
19,25,24,23,1,8
19,26,23,23,1,8
19,27,22,23,1,8
19,28,21,23,1,8
19,29,20,23,1,8
20,24,24,23,1,8
20,25,23,23,1,8
20,26,22,23,1,8
20,27,21,23,1,8
20,28,20,23,1,8
19,24,24,24,1,8
19,25,23,24,1,8
19,26,22,24,1,8
19,27,21,24,1,8
19,28,20,24,1,8
20,24,23,24,1,8
20,25,22,24,1,8
20,26,21,24,1,8
20,27,20,24,1,8
19,24,23,25,1,8
19,25,22,25,1,8
19,26,21,25,1,8
19,27,20,25,1,8
20,24,22,25,1,8
20,25,21,25,1,8
20,26,20,25,1,8
19,24,22,26,1,8
19,25,21,26,1,8
19,26,20,26,1,8
20,24,21,26,1,8
20,25,20,26,1,8
19,24,21,27,1,8
19,25,20,27,1,8
20,24,20,27,1,8
19,24,20,28,1,8
22,26,13,22,10,7
22,27,13,22,9,7
22,25,13,23,10,7
22,26,13,23,9,7
22,24,13,24,10,7
22,25,13,24,9,7
22,24,13,25,9,7
22,17,12,45,1,3
22,16,10,47,1,4
22,17,9,47,1,4
22,15,10,48,1,4
22,16,9,48,1,4
21,20,25,22,7,5
21,19,25,23,7,5
21,20,24,23,7,5
21,19,24,24,7,5
21,20,23,24,7,5
21,19,23,25,7,5
21,20,22,25,7,5
21,19,22,26,7,5
21,20,21,26,7,5
21,19,21,27,7,5
25,22,13,36,3,1
22,27,8,34,7,2
19,26,12,37,3,3
21,20,20,31,5,3
21,19,20,32,5,3
23,23,16,22,10,6
20,28,11,35,1,5
22,25,16,22,10,5
22,26,16,22,9,5
22,24,16,23,10,5
22,25,16,23,9,5
22,24,16,24,9,5
21,22,19,29,6,3
15,20,11,49,1,4
25,28,15,23,7,2
21,29,12,30,1,7
21,22,19,30,2,6
25,30,14,25,5,1
25,29,14,26,5,1
19,25,20,29,2,5
20,24,20,29,2,5
21,13,18,36,6,6
21,14,17,36,6,6
25,22,10,30,5,8
25,22,9,31,5,8
24,16,21,35,3,1
24,15,21,36,3,1
24,14,21,37,3,1
15,24,22,31,3,5
15,25,21,31,3,5
16,24,21,31,3,5
15,24,21,32,3,5
23,20,10,44,2,1
23,20,9,45,2,1
25,18,12,29,10,6
25,19,11,29,10,6
25,18,11,29,10,7
25,18,11,30,10,6
19,24,11,41,2,3
22,19,20,30,6,3
20,27,7,37,8,1
19,17,20,36,3,5
20,16,20,36,3,5
19,16,20,37,3,5
20,15,20,37,3,5
22,14,16,38,5,5
22,13,16,39,5,5
21,28,11,33,1,6
21,19,23,22,10,5
21,20,22,22,10,5
21,19,22,23,10,5
21,20,21,23,10,5
21,19,21,24,10,5
18,28,11,36,3,4
22,23,16,30,3,6
25,13,16,32,9,5
22,27,14,22,7,8
22,28,13,22,7,8
22,26,14,23,7,8
22,27,13,23,7,8
22,25,14,24,7,8
22,26,13,24,7,8
22,24,14,25,7,8
22,25,13,25,7,8
22,24,13,26,7,8
18,27,7,38,9,1
24,28,12,31,4,1
21,20,19,31,5,4
24,28,11,32,4,1
21,19,19,32,5,4
21,20,18,32,5,4
21,19,18,33,5,4
21,20,17,33,5,4
21,19,17,34,5,4
25,14,16,31,9,5
22,27,7,35,7,2
25,17,12,33,9,4
25,16,12,34,9,4
25,17,11,34,9,4
25,15,12,35,9,4
25,16,11,35,9,4
15,13,19,47,3,3
15,14,18,47,3,3
15,15,17,47,3,3
16,13,18,47,3,3
16,14,17,47,3,3
17,13,17,47,3,3
15,13,18,48,3,3
15,14,17,48,3,3
16,13,17,48,3,3
23,26,12,28,4,7
21,21,14,33,5,6
20,27,8,35,8,2
21,13,11,49,1,5
23,24,10,34,4,5
23,25,9,34,4,5
20,27,10,38,2,3
22,23,8,39,7,1
25,21,9,32,8,5
21,27,7,39,5,1
25,21,10,31,8,5
15,13,15,47,3,7
24,22,10,40,3,1
24,22,9,41,3,1
20,17,14,39,2,8
19,17,14,40,2,8
20,16,14,40,2,8
18,17,14,41,2,8
19,16,14,41,2,8
20,15,14,41,2,8
23,28,12,24,8,5
23,28,12,25,8,4
22,21,8,40,7,2
22,22,7,40,7,2
22,20,8,41,7,2
22,21,7,41,7,2
25,22,12,24,9,8
25,22,11,25,9,8
19,28,16,31,2,4
20,27,16,31,2,4
19,27,16,32,2,4
20,26,16,32,2,4
19,26,16,33,2,4
20,25,16,33,2,4
19,25,16,34,2,4
20,24,16,34,2,4
19,24,16,35,2,4
17,17,19,41,2,4
18,26,11,38,3,4
19,25,11,38,3,4
21,22,23,22,8,4
21,22,22,23,8,4
21,22,21,24,8,4
22,30,10,30,1,7
22,29,10,31,1,7
22,30,9,31,1,7
22,29,9,32,1,7
19,24,10,42,2,3
18,24,10,43,2,3
19,24,9,43,2,3
18,24,9,44,2,3
22,21,17,29,6,5
19,13,21,38,2,7
24,18,9,42,4,3
22,13,15,36,7,7
25,22,14,35,3,1
24,20,16,22,10,8
24,19,16,23,10,8
24,18,16,24,10,8
21,13,16,37,10,3
22,14,14,38,5,7
22,13,14,39,5,7
22,18,22,30,5,3
21,21,20,30,1,7
24,20,16,24,8,8
24,19,16,25,8,8
24,18,16,26,8,8
20,13,22,36,5,4
20,14,21,36,5,4
21,21,13,33,6,6
21,22,14,33,2,8
21,22,13,34,2,8
22,13,13,42,4,6
22,14,15,36,7,6
22,26,15,22,7,8
22,25,15,23,7,8
22,24,15,24,7,8
23,23,16,22,9,7
23,23,16,23,9,6
23,23,16,23,8,7
23,23,16,24,8,6
16,20,12,47,1,4
17,19,12,47,1,4
15,20,12,48,1,4
16,19,12,48,1,4
17,18,12,48,1,4
15,29,25,22,1,8
15,30,24,22,1,8
16,28,25,22,1,8
16,29,24,22,1,8
16,30,23,22,1,8
17,27,25,22,1,8
17,28,24,22,1,8
17,29,23,22,1,8
17,30,22,22,1,8
15,28,25,23,1,8
15,29,24,23,1,8
15,30,23,23,1,8
16,27,25,23,1,8
16,28,24,23,1,8
16,29,23,23,1,8
16,30,22,23,1,8
17,26,25,23,1,8
17,27,24,23,1,8
17,28,23,23,1,8
17,29,22,23,1,8
17,30,21,23,1,8
15,27,25,24,1,8
15,28,24,24,1,8
15,29,23,24,1,8
15,30,22,24,1,8
16,26,25,24,1,8
16,27,24,24,1,8
16,28,23,24,1,8
16,29,22,24,1,8
16,30,21,24,1,8
17,25,25,24,1,8
17,26,24,24,1,8
17,27,23,24,1,8
17,28,22,24,1,8
17,29,21,24,1,8
17,30,20,24,1,8
15,26,25,25,1,8
15,27,24,25,1,8
15,28,23,25,1,8
15,29,22,25,1,8
15,30,21,25,1,8
16,25,25,25,1,8
16,26,24,25,1,8
16,27,23,25,1,8
16,28,22,25,1,8
16,29,21,25,1,8
16,30,20,25,1,8
17,24,25,25,1,8
17,25,24,25,1,8
17,26,23,25,1,8
17,27,22,25,1,8
17,28,21,25,1,8
17,29,20,25,1,8
15,25,25,26,1,8
15,26,24,26,1,8
15,27,23,26,1,8
15,28,22,26,1,8
15,29,21,26,1,8
15,30,20,26,1,8
16,24,25,26,1,8
16,25,24,26,1,8
16,26,23,26,1,8
16,27,22,26,1,8
16,28,21,26,1,8
16,29,20,26,1,8
17,24,24,26,1,8
17,25,23,26,1,8
17,26,22,26,1,8
17,27,21,26,1,8
17,28,20,26,1,8
15,24,25,27,1,8
15,25,24,27,1,8
15,26,23,27,1,8
15,27,22,27,1,8
15,28,21,27,1,8
15,29,20,27,1,8
16,24,24,27,1,8
16,25,23,27,1,8
16,26,22,27,1,8
16,27,21,27,1,8
16,28,20,27,1,8
17,24,23,27,1,8
17,25,22,27,1,8
17,26,21,27,1,8
17,27,20,27,1,8
15,24,24,28,1,8
15,25,23,28,1,8
15,26,22,28,1,8
15,27,21,28,1,8
15,28,20,28,1,8
16,24,23,28,1,8
16,25,22,28,1,8
16,26,21,28,1,8
16,27,20,28,1,8
17,24,22,28,1,8
17,25,21,28,1,8
17,26,20,28,1,8
25,20,21,29,4,1
25,19,21,30,4,1
22,24,7,38,7,2
18,27,11,39,2,3
17,30,10,37,3,3
22,27,10,33,3,5
15,18,16,39,5,7
15,27,19,31,1,7
15,28,18,31,1,7
15,29,17,31,1,7
16,26,19,31,1,7
16,27,18,31,1,7
16,28,17,31,1,7
17,25,19,31,1,7
17,26,18,31,1,7
17,27,17,31,1,7
15,26,19,32,1,7
15,27,18,32,1,7
15,28,17,32,1,7
16,25,19,32,1,7
16,26,18,32,1,7
16,27,17,32,1,7
17,24,19,32,1,7
17,25,18,32,1,7
17,26,17,32,1,7
15,25,19,33,1,7
15,26,18,33,1,7
15,27,17,33,1,7
16,24,19,33,1,7
16,25,18,33,1,7
16,26,17,33,1,7
17,24,18,33,1,7
17,25,17,33,1,7
15,24,19,34,1,7
15,25,18,34,1,7
15,26,17,34,1,7
16,24,18,34,1,7
16,25,17,34,1,7
17,24,17,34,1,7
15,24,18,35,1,7
15,25,17,35,1,7
16,24,17,35,1,7
25,17,10,35,6,7
21,21,25,22,8,3
21,21,24,23,8,3
21,21,23,24,8,3
21,21,22,25,8,3
21,21,21,26,8,3
19,24,21,30,3,3
21,22,11,40,2,4
20,27,7,36,8,2
24,28,9,34,4,1
23,24,9,35,4,5
25,28,15,27,4,1
23,22,21,31,1,2
22,22,8,39,8,1
22,23,7,39,8,1
17,27,11,38,3,4
24,17,14,33,4,8
24,16,14,34,4,8
24,17,13,34,4,8
24,15,14,35,4,8
24,16,13,35,4,8
25,13,12,38,6,6
25,14,11,38,6,6
25,13,11,38,6,7
25,13,11,39,6,6
21,23,15,32,1,8
22,14,13,38,6,7
22,13,13,39,6,7
21,21,19,31,2,6
21,21,18,32,2,6
21,21,17,33,2,6
22,20,8,40,8,2
22,21,7,40,8,2
22,20,7,41,8,2
25,19,12,29,9,6
25,20,11,29,9,6
25,18,12,29,9,7
25,19,11,29,9,7
25,18,12,30,9,6
25,19,11,30,9,6
25,18,11,30,9,7
25,18,11,31,9,6
24,15,21,35,3,2
24,14,21,36,3,2
24,13,21,37,3,2
22,22,18,29,3,6
21,30,14,23,4,8
21,29,14,24,4,8
21,30,13,24,4,8
21,28,14,25,4,8
21,29,13,25,4,8
21,27,14,26,4,8
21,28,13,26,4,8
21,26,14,27,4,8
21,27,13,27,4,8
21,25,14,28,4,8
21,26,13,28,4,8
20,17,13,42,2,6
19,17,13,43,2,6
20,16,13,43,2,6
18,17,13,44,2,6
19,16,13,44,2,6
20,15,13,44,2,6
18,16,13,45,2,6
19,15,13,45,2,6
20,14,13,45,2,6
18,15,13,46,2,6
19,14,13,46,2,6
20,13,13,46,2,6
22,22,18,29,1,8
19,13,23,38,1,6
19,14,22,38,1,6
19,15,21,38,1,6
20,13,22,38,1,6
20,14,21,38,1,6
25,26,12,28,7,2
21,30,16,23,3,7
21,29,16,24,3,7
21,28,16,25,3,7
21,27,16,26,3,7
21,26,16,27,3,7
21,25,16,28,3,7
20,26,11,37,2,4
20,17,16,42,2,3
19,17,16,43,2,3
20,16,16,43,2,3
19,16,16,44,2,3
20,15,16,44,2,3
19,15,16,45,2,3
20,14,16,45,2,3
19,14,16,46,2,3
20,13,16,46,2,3
21,19,24,22,9,5
21,20,23,22,9,5
21,19,23,23,9,5
21,20,22,23,9,5
21,19,22,24,9,5
21,20,21,24,9,5
21,19,21,25,9,5
21,22,17,29,7,4
21,30,14,24,4,7
21,29,14,25,4,7
21,28,14,26,4,7
21,27,14,27,4,7
21,26,14,28,4,7
15,23,12,46,1,3
18,26,8,39,7,2
19,25,8,39,7,2
19,26,7,39,7,2
18,25,8,40,7,2
18,26,7,40,7,2
19,24,8,40,7,2
19,25,7,40,7,2
18,24,8,41,7,2
18,25,7,41,7,2
19,24,7,41,7,2
23,23,16,26,5,7
23,23,16,27,5,6
16,30,10,36,3,5
17,29,10,36,3,5
17,30,9,36,3,5
15,30,10,37,3,5
16,29,10,37,3,5
16,30,9,37,3,5
17,29,9,37,3,5
25,14,10,33,10,8
25,15,9,33,10,8
25,13,10,34,10,8
25,14,9,34,10,8
25,13,9,35,10,8
21,18,25,29,1,6
23,29,13,30,3,2
24,23,12,34,4,3
24,23,11,35,4,3
15,29,20,29,2,5
16,28,20,29,2,5
17,27,20,29,2,5
20,17,13,40,2,8
19,17,13,41,2,8
20,16,13,41,2,8
21,22,13,35,2,7
21,22,9,42,2,4
22,20,20,29,6,3
21,22,11,39,3,4
24,23,12,37,3,1
17,26,11,39,2,5
16,26,11,40,2,5
17,25,11,40,2,5
15,26,11,41,2,5
16,25,11,41,2,5
16,27,8,38,10,1
17,27,8,38,9,1
17,27,7,38,10,1
21,21,18,31,6,3
21,21,17,32,6,3
21,23,19,29,2,6
23,18,22,22,7,8
23,18,21,23,7,8
23,18,20,24,7,8
24,21,16,24,7,8
25,24,11,29,9,2
22,23,23,22,3,7
22,23,22,23,3,7
22,23,21,24,3,7
24,23,16,25,7,5
21,25,8,37,7,2
21,26,7,37,7,2
21,19,10,45,2,3
21,21,25,25,1,7
21,21,24,26,1,7
21,21,23,27,1,7
21,21,22,28,1,7
21,25,8,38,7,1
21,26,7,38,7,1
24,23,16,23,10,4
21,27,14,22,8,8
21,28,13,22,8,8
21,26,14,23,8,8
21,27,13,23,8,8
21,25,14,24,8,8
21,26,13,24,8,8
21,24,14,25,8,8
21,25,13,25,8,8
21,24,13,26,8,8
22,28,14,22,7,7
22,27,14,23,7,7
22,26,14,24,7,7
22,25,14,25,7,7
22,24,14,26,7,7
24,20,16,23,9,8
24,19,16,24,9,8
24,18,16,25,9,8
21,14,16,37,9,3
24,23,12,33,4,4
15,27,8,39,9,2
15,27,7,39,10,2
16,27,7,39,9,2
15,27,7,40,9,2
22,18,19,34,1,6
22,18,18,35,1,6
21,27,8,36,7,1
18,13,15,49,2,3
19,15,20,39,1,6
20,14,20,39,1,6
19,14,20,40,1,6
20,13,20,40,1,6
19,13,20,41,1,6
21,20,25,24,7,3
21,19,25,25,7,3
21,20,24,25,7,3
21,19,24,26,7,3
21,20,23,26,7,3
21,19,23,27,7,3
21,20,22,27,7,3
21,19,22,28,7,3
21,20,21,28,7,3
21,30,16,22,3,8
21,29,16,23,3,8
21,28,16,24,3,8
21,27,16,25,3,8
21,26,16,26,3,8
21,25,16,27,3,8
21,24,16,28,3,8
17,27,12,37,2,5
20,29,12,30,1,8
19,24,19,30,1,7
19,25,18,30,1,7
19,26,17,30,1,7
20,24,18,30,1,7
20,25,17,30,1,7
18,24,19,31,1,7
18,25,18,31,1,7
18,26,17,31,1,7
18,24,18,32,1,7
18,25,17,32,1,7
18,24,17,33,1,7
25,20,12,26,10,7
25,20,12,27,10,6
25,19,12,27,10,7
25,20,11,27,10,7
25,19,12,28,10,6
25,20,11,28,10,6
25,18,12,28,10,7
25,19,11,28,10,7
25,23,9,29,6,8
18,26,25,22,1,8
18,27,24,22,1,8
18,28,23,22,1,8
18,29,22,22,1,8
18,30,21,22,1,8
18,25,25,23,1,8
18,26,24,23,1,8
18,27,23,23,1,8
18,28,22,23,1,8
18,29,21,23,1,8
18,30,20,23,1,8
18,24,25,24,1,8
18,25,24,24,1,8
18,26,23,24,1,8
18,27,22,24,1,8
18,28,21,24,1,8
18,29,20,24,1,8
18,24,24,25,1,8
18,25,23,25,1,8
18,26,22,25,1,8
18,27,21,25,1,8
18,28,20,25,1,8
18,24,23,26,1,8
18,25,22,26,1,8
18,26,21,26,1,8
18,27,20,26,1,8
18,24,22,27,1,8
18,25,21,27,1,8
18,26,20,27,1,8
18,24,21,28,1,8
18,25,20,28,1,8
17,30,16,31,2,4
16,30,16,32,2,4
17,29,16,32,2,4
15,30,16,33,2,4
16,29,16,33,2,4
17,28,16,33,2,4
15,29,16,34,2,4
16,28,16,34,2,4
17,27,16,34,2,4
15,28,16,35,2,4
16,27,16,35,2,4
17,26,16,35,2,4
21,21,15,31,6,6
17,28,10,39,3,3
16,28,10,40,3,3
17,28,9,40,3,3
15,28,10,41,3,3
16,28,9,41,3,3
15,26,10,42,2,5
16,25,10,42,2,5
16,26,9,42,2,5
17,25,9,42,2,5
15,25,10,43,2,5
15,26,9,43,2,5
16,25,9,43,2,5
15,25,9,44,2,5
22,18,23,29,5,3
21,19,18,31,6,5
21,20,17,31,6,5
21,19,17,32,6,5
22,21,19,29,2,7
19,26,12,36,3,4
18,26,12,37,3,4
19,25,12,37,3,4
23,28,12,24,6,7
23,28,12,25,6,6
25,28,10,30,6,1
25,28,9,31,6,1
22,28,16,22,7,5
22,27,16,23,7,5
22,26,16,24,7,5
22,25,16,25,7,5
22,24,16,26,7,5
19,17,14,42,2,6
20,16,14,42,2,6
18,17,14,43,2,6
19,16,14,43,2,6
20,15,14,43,2,6
18,16,14,44,2,6
19,15,14,44,2,6
20,14,14,44,2,6
18,15,14,45,2,6
19,14,14,45,2,6
20,13,14,45,2,6
18,14,14,46,2,6
19,13,14,46,2,6
22,17,12,44,1,4
22,16,12,45,1,4
21,19,10,44,3,3
21,18,10,45,3,3
21,19,9,45,3,3
21,20,20,29,7,3
21,19,20,30,7,3
25,21,12,26,8,8
25,21,11,27,8,8
23,28,10,30,6,3
23,28,9,31,6,3
21,25,11,36,1,6
21,24,11,37,1,6
25,22,16,33,3,1
20,30,10,35,1,4
15,24,11,42,3,5
22,18,15,32,8,5
23,18,16,32,8,3
21,20,19,32,2,6
21,19,19,33,2,6
21,20,18,33,2,6
21,19,18,34,2,6
21,20,17,34,2,6
21,19,17,35,2,6
23,18,19,26,7,7
23,18,19,27,7,6
23,18,18,27,7,7
23,18,18,28,7,6
23,18,17,28,7,7
25,28,17,25,4,1
21,26,15,22,8,8
21,25,15,23,8,8
21,24,15,24,8,8
22,26,12,31,1,8
22,25,12,32,1,8
21,24,8,37,8,2
21,25,7,37,8,2
22,27,15,22,7,7
22,26,15,23,7,7
22,25,15,24,7,7
22,24,15,25,7,7
24,23,16,24,10,3
18,26,20,29,2,5
23,28,20,26,2,1
21,24,8,38,8,1
21,25,7,38,8,1
17,18,16,39,4,6
16,18,16,40,4,6
15,18,16,41,4,6
15,24,23,30,3,5
15,25,22,30,3,5
15,26,21,30,3,5
16,24,22,30,3,5
16,25,21,30,3,5
17,24,21,30,3,5
21,19,25,22,10,3
21,20,24,22,10,3
21,19,24,23,10,3
21,20,23,23,10,3
21,19,23,24,10,3
21,20,22,24,10,3
21,19,22,25,10,3
21,20,21,25,10,3
21,19,21,26,10,3
15,24,24,31,3,3
15,25,23,31,3,3
15,26,22,31,3,3
15,27,21,31,3,3
16,24,23,31,3,3
16,25,22,31,3,3
16,26,21,31,3,3
17,24,22,31,3,3
17,25,21,31,3,3
15,24,23,32,3,3
15,25,22,32,3,3
15,26,21,32,3,3
16,24,22,32,3,3
16,25,21,32,3,3
17,24,21,32,3,3
15,24,22,33,3,3
15,25,21,33,3,3
16,24,21,33,3,3
15,24,21,34,3,3
21,23,17,31,1,7
24,25,25,22,3,1
24,26,24,22,3,1
24,27,23,22,3,1
24,24,25,23,3,1
24,25,24,23,3,1
24,26,23,23,3,1
24,27,22,23,3,1
24,24,24,24,3,1
24,25,23,24,3,1
24,26,22,24,3,1
24,24,23,25,3,1
24,25,22,25,3,1
24,24,22,26,3,1
25,15,10,33,9,8
25,16,9,33,9,8
25,14,10,34,9,8
25,15,9,34,9,8
25,13,10,35,9,8
25,14,9,35,9,8
25,13,9,36,9,8
15,28,10,39,3,5
16,28,9,39,3,5
15,28,9,40,3,5
25,28,12,27,7,1
25,28,11,28,7,1
19,24,11,40,2,4
18,24,11,41,2,4
15,23,22,35,1,4
16,23,21,35,1,4
21,29,13,22,8,7
21,28,13,23,8,7
21,27,13,24,8,7
21,26,13,25,8,7
21,25,13,26,8,7
21,24,13,27,8,7
17,28,11,36,3,5
16,28,11,37,3,5
21,21,15,35,2,6
22,22,24,22,2,8
22,22,23,23,2,8
22,22,22,24,2,8
22,22,21,25,2,8
22,27,8,35,7,1
17,26,8,40,7,2
16,26,8,41,7,2
17,25,8,41,7,2
17,26,7,41,7,2
17,27,12,37,3,4
19,13,24,36,2,6
19,14,23,36,2,6
19,15,22,36,2,6
19,16,21,36,2,6
20,13,23,36,2,6
20,14,22,36,2,6
20,15,21,36,2,6
19,13,23,37,2,6
19,14,22,37,2,6
19,15,21,37,2,6
20,13,22,37,2,6
20,14,21,37,2,6
21,26,8,38,5,2
24,21,16,26,5,8
21,21,10,43,2,3
21,21,9,44,2,3
21,21,11,41,3,3
22,26,11,34,1,6
22,25,11,35,1,6
21,23,12,37,3,4
19,13,18,42,2,6
19,14,17,42,2,6
20,13,17,42,2,6
19,13,17,43,2,6
21,27,11,35,3,3
19,13,23,36,5,4
19,14,22,36,5,4
19,15,21,36,5,4
25,15,12,32,8,8
25,16,11,32,8,8
24,23,16,24,9,4
24,23,16,25,8,4
20,27,9,38,2,4
25,18,12,29,8,8
25,19,11,29,8,8
25,17,12,30,8,8
25,18,11,30,8,8
25,16,12,31,8,8
25,17,11,31,8,8
22,14,14,38,4,8
22,15,13,38,4,8
22,13,14,39,4,8
