Fe,Co,Cr,Ni,Al,Ti
22,22,19,31,4,2
22,22,18,32,4,2
21,22,14,37,4,2
22,21,13,38,4,2
22,17,17,34,8,2
22,16,17,35,8,2
22,15,17,36,8,2
21,21,17,33,6,2
21,18,14,38,7,2
20,23,17,34,4,2
20,18,16,34,10,2
21,23,16,31,8,1
20,19,16,34,9,2
22,14,19,38,5,2
22,15,18,38,5,2
20,21,16,32,9,2
17,21,16,39,5,2
16,21,16,40,5,2
15,21,16,41,5,2
17,17,16,38,10,2
18,16,16,38,10,2
19,19,16,39,5,2
22,18,17,31,10,2
22,19,17,31,9,2
22,23,16,31,7,1
21,19,18,32,8,2
21,19,19,31,8,2
21,20,18,31,8,2
20,22,16,35,5,2
22,18,17,38,4,1
21,22,13,39,4,1
20,20,16,32,10,2
20,19,16,33,10,2
22,22,16,35,4,1
20,18,16,35,9,2
21,17,16,37,8,1
21,21,20,32,4,2
22,16,19,37,4,2
22,17,18,37,4,2
21,18,17,36,6,2
19,18,16,40,5,2
18,17,16,38,9,2
20,13,17,38,10,2
22,18,17,32,9,2
21,22,19,31,5,2
21,22,18,32,5,2
20,20,16,37,5,2
22,21,17,31,7,2
21,18,17,39,4,1
16,17,16,39,10,2
17,16,16,39,10,2
18,15,16,39,10,2
15,17,16,40,10,2
16,16,16,40,10,2
17,15,16,40,10,2
18,14,16,40,10,2
15,16,16,41,10,2
16,15,16,41,10,2
17,14,16,41,10,2
18,13,16,41,10,2
21,18,19,32,8,2
21,18,18,33,8,2
21,18,13,39,7,2
21,17,13,40,7,2
21,16,13,41,7,2
20,20,16,33,9,2
21,23,19,27,8,2
21,23,18,28,8,2
22,14,16,37,10,1
21,20,14,39,4,2
21,19,14,40,4,2
21,18,14,41,4,2
20,14,17,38,9,2
21,18,18,34,7,2
22,22,17,29,8,2
17,17,16,39,9,2
18,16,16,39,9,2
16,17,16,40,9,2
17,16,16,40,9,2
18,15,16,40,9,2
15,17,16,41,9,2
16,16,16,41,9,2
17,15,16,41,9,2
18,14,16,41,9,2
21,23,16,32,7,1
22,19,16,37,5,1
21,23,19,25,10,2
21,23,18,26,10,2
20,22,16,30,10,2
22,15,16,37,9,1
22,19,15,38,4,2
20,22,16,34,6,2
21,20,19,31,7,2
21,19,19,32,7,2
21,20,18,32,7,2
21,19,18,33,7,2
17,21,16,38,6,2
17,23,16,37,5,2
19,19,16,38,6,2
18,21,17,38,4,2
21,17,14,38,8,2
22,15,17,34,10,2
22,14,17,35,10,2
22,13,17,36,10,2
19,20,17,38,4,2
22,22,16,31,8,1
21,23,19,26,9,2
21,23,18,27,9,2
21,16,19,37,5,2
21,17,18,37,5,2
17,21,16,37,7,2
19,23,16,32,8,2
19,19,16,37,7,2
21,15,16,37,10,1
21,18,19,33,7,2
21,16,17,38,7,1
22,22,17,31,6,2
