formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,CFS
Co1 Cr1 Fe1 Ni1 Ti1 Al2,Co1 Cr1 Fe1 Ni1 Ti1 Al2,6,0.42857142857142855,0.33590495538867965,0.294132019496931,0.2872826096750584,0.28585348904929425,13.0,28.0,15.0,21.857142857142858,5.061224489795919,13.0,43.0,73.0,30.0,58.857142857142854,8.693877551020408,73.0,26.9815386,58.933195,31.951656399999997,46.7568246,11.300163428571425,26.9815386,933.47,2180.0,1246.53,1613.5628571428572,388.62448979591835,933.47,4.0,13.0,9.0,9.0,2.5714285714285716,13.0,3.0,4.0,1.0,3.7142857142857144,0.4081632653061224,3.0,121.0,160.0,39.0,131.85714285714286,10.122448979591837,121.0,1.54,1.91,0.3699999999999999,1.7200000000000002,0.13142857142857142,1.61,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,1.0,0.0,8.0,8.0,4.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.142857142857143,2.448979591836735,3.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367344,0.0,0.0,5.0,5.0,1.4285714285714286,2.0408163265306123,5.0,0.0,8.0,8.0,3.142857142857143,2.1632653061224487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.714285714285714,1.469387755102041,5.0,10.245,16.69,6.445000000000002,13.162142857142856,2.9038775510204085,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6077930333333333,0.6981565523809524,0.0,194.0,229.0,35.0,217.28571428571428,13.306122448979595,225.0,1.8571428571428572,0.2857142857142857,4.0,0.0,False,0.033645949486530435,0.004736309563374948,Co0.1800598720971068 Cr0.15886481490691917 Fe0.17062444276545552 Ni0.17932722121962552 Ti0.14624908589585567 Al0.16487456311503731 ,Co0.14285714285714285Cr0.14285714285714285Fe0.14285714285714285Ni0.14285714285714285Ti0.14285714285714285Al0.2857142857142857,0.056530922271376,1.0043258004175273,-0.007839517461388652,3.9999999999999996,1.0800801303650747,-0.014531775362338621,46.75682460000001,327.2977722,-4.5472259446044365,0.10687702246499484,0.27469387755102037,9.0,23.3469387755102,4.12,30.0,1.0,1.0,28.0,0,63.17285714285714,0.49202626914934866,17.031428571428567,-0.10474073629382821,4.3
Co1 Cr1 Fe1 Ni1 V1,Co1 Cr1 Fe1 Ni1 V1,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,23.0,28.0,5.0,25.6,1.6799999999999997,23.0,46.0,61.0,15.0,53.8,5.040000000000001,46.0,50.9415,58.933195,7.991695,55.281839000000005,3.0504311999999985,50.9415,1728.0,2183.0,455.0,1934.0,198.0,1728.0,5.0,10.0,5.0,7.6,1.6800000000000002,5.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,153.0,29.0,134.8,8.960000000000003,124.0,1.63,1.91,0.28,1.782,0.1096,1.63,1.0,2.0,1.0,1.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,7.6,1.6800000000000002,5.0,0.0,1.0,1.0,0.2,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.4,1.6800000000000002,2.0,10.245,13.01,2.7650000000000006,11.099,0.8008,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.85090574,0.782929008,0.0,194.0,229.0,35.0,221.2,10.880000000000006,194.0,1.8,0.0,5.8,0.0,False,0.019409168797571597,0.0032906395051400463,Co0.2132099657538527 Cr0.1881127724423205 Fe0.20203741774943484 Ni0.21234242949117518 V0.18429741456321666 ,Co0.2Cr0.2Fe0.2Ni0.2V0.2,0.027510651346342202,2.888236205233452,-0.004402060873012292,1.8400000000000003,1.0430260574569856,-0.013380866803977112,55.281839000000005,276.409195,-17.680009815835565,0.07108996385391905,0.188,7.6,8.96,4.5040000000000004,30.0,1.0,0.0,29.0,0,79.238,0.2825273014373044,11.749600000000003,-0.037683661851238254,0.0
Co1 Cr1 Fe1 Ni1 W0.2,Co1 Cr1 Fe1 Ni1 W0.2,5,0.47856550576766144,0.3782044320493947,0.31417357671997875,0.29024147892073715,0.2734996090327863,24.0,74.0,50.0,28.523809523809522,4.331065759637186,24.0,49.0,61.0,12.0,55.52380952380952,3.786848072562358,49.0,51.9961,183.84,131.84390000000002,62.437070238095224,11.562183786848061,51.9961,1728.0,3695.0,1967.0,1958.5714285714284,270.8163265306122,1728.0,6.0,10.0,4.0,8.142857142857142,1.2925170068027212,6.0,4.0,6.0,2.0,4.095238095238095,0.18140589569160967,4.0,124.0,162.0,38.0,131.76190476190476,6.439909297052154,124.0,1.66,2.36,0.7,1.8457142857142859,0.09591836734693872,1.66,1.0,2.0,1.0,1.7619047619047619,0.36281179138321995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.3809523809523805,1.0657596371882085,5.0,0.0,14.0,14.0,0.6666666666666667,1.26984126984127,0.0,6.0,20.0,14.0,8.809523809523808,1.7233560090702948,6.0,0.0,1.0,1.0,0.23809523809523808,0.36281179138321995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.6190476190476186,1.0657596371882085,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.8571428571428568,1.2925170068027212,2.0,10.245,16.05,5.8050000000000015,10.879761904761905,0.6401360544217687,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.0129830238095237,0.7776990249433107,0.0,194.0,229.0,35.0,219.7142857142857,12.244897959183684,194.0,1.7619047619047619,0.0,6.3809523809523805,0.6666666666666667,False,0.11529409505651644,0.005377982311390052,Co0.22473368852398223 Cr0.19828002438798428 Fe0.21295727875642562 Ni0.2238192630488386 W0.14020974528276942 ,Co0.23809523809523808Cr0.23809523809523808Fe0.23809523809523808Ni0.23809523809523808W0.047619047619047616,0.021325736943163705,6.9588272646022995,0.0037927851707878907,1.2925170068027207,1.047946722732559,-0.012568476876778147,62.43707023809523,262.23569499999996,-27.635959964760282,0.04164116222140607,0.11428571428571424,8.142857142857144,3.5374149659863945,4.521428571428571,31.0,1.0,0.0,30.0,0,90.5452380952381,0.24011517440340377,10.346485260770974,-0.025275612519743786,52.0
Co1 Cr1 Fe1 Ni1 W0.5,Co1 Cr1 Fe1 Ni1 W0.5,5,0.4581228472908512,0.3563927033328696,0.293680717557935,0.27096744364926284,0.25527253251330995,24.0,74.0,50.0,31.555555555555557,9.4320987654321,24.0,49.0,61.0,12.0,55.22222222222222,3.802469135802469,49.0,51.9961,183.84,131.84390000000002,70.53059888888889,25.179866913580252,51.9961,1728.0,3695.0,1967.0,2074.3333333333335,407.11111111111114,1728.0,6.0,10.0,4.0,8.0,1.3333333333333333,6.0,4.0,6.0,2.0,4.222222222222222,0.3950617283950618,4.0,124.0,162.0,38.0,133.77777777777777,8.59259259259259,124.0,1.66,2.36,0.7,1.8800000000000001,0.12000000000000004,1.66,1.0,2.0,1.0,1.7777777777777777,0.34567901234567905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.222222222222222,1.1358024691358024,5.0,0.0,14.0,14.0,1.5555555555555556,2.765432098765432,0.0,6.0,20.0,14.0,9.555555555555555,2.518518518518518,6.0,0.0,1.0,1.0,0.2222222222222222,0.34567901234567905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.7777777777777777,1.1358024691358024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,10.245,16.05,5.8050000000000015,11.224444444444444,1.0723456790123456,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.9454508222222222,0.7858810469135802,0.0,194.0,229.0,35.0,220.33333333333334,11.703703703703699,194.0,1.7777777777777777,0.0,6.222222222222222,1.5555555555555556,False,0.11529409505651644,0.008958115930278508,Co0.18568204101296365 Cr0.16382519177373905 Fe0.17595200091169255 Ni0.18492651392802104 W0.2896142523735837 ,Co0.2222222222222222Cr0.2222222222222222Fe0.2222222222222222Ni0.2222222222222222W0.1111111111111111,0.025921654310930256,8.366181466750804,0.0003382395656249784,1.6296296296296298,1.0478738673410688,-0.01314521343892854,70.53059888888889,317.387695,-19.563304419881614,0.041133778406412365,0.11407407407407404,8.0,3.259259259259259,4.813333333333333,31.0,1.0,0.0,30.0,0,94.70888888888888,0.2761198658330092,12.899012345679013,-0.03314375298879416,35.6
Co1 Cr1 Mo1 Nb1,Co1 Cr1 Mo1 Nb1,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,24.0,42.0,18.0,33.5,8.0,24.0,47.0,58.0,11.0,51.0,3.5,47.0,51.9961,95.96,43.963899999999995,74.94891875,19.48427125,51.9961,1768.0,2896.0,1128.0,2398.5,424.5,1768.0,5.0,9.0,4.0,6.5,1.25,5.0,4.0,5.0,1.0,4.5,0.5,4.0,126.0,164.0,38.0,145.75,13.25,126.0,1.6,2.16,0.56,1.8250000000000002,0.195,1.6,1.0,2.0,1.0,1.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.25,0.875,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.5,1.25,5.0,0.0,1.0,1.0,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.75,0.875,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.5,1.25,3.0,10.245,18.18,7.9350000000000005,13.82625,3.10875,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3871178,0.5806767,0.0,194.0,229.0,35.0,220.25,13.125,194.0,1.25,0.0,5.25,0.0,False,0.0754054852397893,0.011733590282005706,Co0.19659098424180016 Cr0.17345003059370978 Mo0.3200393093935991 Nb0.309919675770891 ,Co0.25Cr0.25Mo0.25Nb0.25,0.0530317723124698,2.352704228686325,0.007107920279418312,3.9375,1.0844532502283228,-0.011525651318350769,74.94891875,299.775675,-4.098200425427243,0.08089328756964391,0.19687499999999997,6.5,11.75,5.72,24.0,3.0,0.0,21.0,0,86.5975,0.3775595785369528,17.316875,-0.06986661088906107,5.77
Co1 Cr1 Mo1 Nb1 Ti0.2,Co1 Cr1 Mo1 Nb1 Ti0.2,5,0.47856550576766144,0.3782044320493947,0.31417357671997875,0.29024147892073715,0.2734996090327863,22.0,42.0,20.0,32.95238095238095,8.140589569160998,24.0,43.0,58.0,15.0,50.61904761904761,3.51473922902494,47.0,47.867,95.96,48.092999999999996,73.65930357142857,19.784653741496594,51.9961,1768.0,2896.0,1128.0,2376.714285714286,425.03401360544217,1768.0,4.0,9.0,5.0,6.3809523809523805,1.2471655328798184,5.0,4.0,5.0,1.0,4.476190476190476,0.4988662131519274,4.0,126.0,164.0,38.0,146.42857142857142,13.26530612244898,126.0,1.54,2.16,0.6200000000000001,1.8114285714285714,0.19863945578231293,1.6,1.0,2.0,1.0,1.2857142857142858,0.40816326530612246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,5.095238095238095,0.9070294784580497,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,6.3809523809523805,1.2471655328798184,5.0,0.0,1.0,1.0,0.7142857142857143,0.40816326530612235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,4.904761904761905,0.9070294784580497,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.6190476190476195,1.2471655328798184,3.0,10.245,18.18,7.9350000000000005,13.962619047619047,3.0905895691609975,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3686846920634921,0.5618030990173848,0.0,194.0,229.0,35.0,218.99999999999997,14.285714285714297,194.0,1.2857142857142858,0.0,5.095238095238095,0.0,False,0.09162682579073211,0.012055482542759318,Co0.19050709946360758 Cr0.16808228697629046 Mo0.3101350796022261 Nb0.3003286174364672 Ti0.030946916521408706 ,Co0.23809523809523808Cr0.23809523809523808Mo0.23809523809523808Nb0.23809523809523808Ti0.047619047619047616,0.05304798831345583,2.421582764215875,0.0045085101928957596,3.945578231292517,1.0843677702829528,-0.012568476876778147,73.65930357142855,309.34907499999997,-4.466268334253125,0.08814272676223439,0.21541950113378683,6.380952380952381,12.335600907029477,5.678571428571429,26.0,3.0,0.0,23.0,0,84.34714285714287,0.39666118223424063,17.89251700680272,-0.0792023569051429,4.62
Co1 Cr1 Mo1 Nb1 Ti0.4,Co1 Cr1 Mo1 Nb1 Ti0.4,5,0.46354722850843494,0.362686917112991,0.3000415472913077,0.2770647662271545,0.261068492319393,22.0,42.0,20.0,32.45454545454545,8.223140495867767,24.0,43.0,58.0,15.0,50.272727272727266,3.512396694214872,47.0,47.867,95.96,48.092999999999996,72.48692613636364,19.95114896694215,51.9961,1768.0,2896.0,1128.0,2356.9090909090905,423.71900826446273,1768.0,4.0,9.0,5.0,6.2727272727272725,1.2396694214876032,5.0,4.0,5.0,1.0,4.454545454545454,0.4958677685950412,4.0,126.0,164.0,38.0,147.04545454545453,13.223140495867769,126.0,1.54,2.16,0.6200000000000001,1.799090909090909,0.20082644628099172,1.6,1.0,2.0,1.0,1.3181818181818181,0.4338842975206611,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.954545454545454,0.9710743801652894,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,6.2727272727272725,1.2396694214876032,5.0,0.0,1.0,1.0,0.6818181818181818,0.4338842975206612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.045454545454545,0.9710743801652889,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.727272727272727,1.2396694214876036,3.0,10.245,18.18,7.9350000000000005,14.086590909090908,3.0628099173553722,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.35192732121212117,0.5438835812672175,0.0,194.0,229.0,35.0,217.86363636363635,15.185950413223145,194.0,1.3181818181818181,0.0,4.954545454545454,0.0,False,0.09162682579073211,0.012271693160974047,Co0.18478846622521666 Cr0.16303680071465645 Mo0.30082545922798326 Nb0.2913133669867575 Ti0.06003590684538618 ,Co0.22727272727272727Cr0.22727272727272727Mo0.22727272727272727Nb0.22727272727272727Ti0.09090909090909091,0.05293979210817,2.401581642448643,0.0021460286743115527,3.9359504132231393,1.084290249771317,-0.013010609348225904,72.48692613636364,318.92247499999996,-4.642299696047234,0.09376890764402755,0.22985537190082644,6.272727272727272,12.768595041322312,5.640909090909091,26.0,3.0,0.0,23.0,0,82.30136363636363,0.4131864479161012,18.29431818181818,-0.08610095707206025,4.92
Co1 Cr1 Mo1 Nb1 Ti0.5,Co1 Cr1 Mo1 Nb1 Ti0.5,5,0.4581228472908512,0.3563927033328696,0.293680717557935,0.27096744364926284,0.25527253251330995,22.0,42.0,20.0,32.22222222222222,8.246913580246915,24.0,43.0,58.0,15.0,50.111111111111114,3.5061728395061746,47.0,47.867,95.96,48.092999999999996,71.93981666666667,19.99410962962963,51.9961,1768.0,2896.0,1128.0,2347.6666666666665,422.5185185185185,1768.0,4.0,9.0,5.0,6.222222222222222,1.2345679012345678,5.0,4.0,5.0,1.0,4.444444444444445,0.4938271604938272,4.0,126.0,164.0,38.0,147.33333333333334,13.185185185185183,126.0,1.54,2.16,0.6200000000000001,1.7933333333333334,0.20148148148148148,1.6,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.888888888888889,1.037037037037037,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,6.222222222222222,1.2345679012345678,5.0,0.0,1.0,1.0,0.6666666666666666,0.44444444444444453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.111111111111111,1.037037037037037,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.777777777777778,1.2345679012345678,3.0,10.245,18.18,7.9350000000000005,14.144444444444444,3.046172839506173,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3441072148148148,0.5352728823045267,0.0,194.0,229.0,35.0,217.33333333333334,15.555555555555552,194.0,1.3333333333333333,0.0,4.888888888888889,0.0,False,0.09162682579073211,0.012347684610743166,Co0.18205599207992793 Cr0.16062596928245856 Mo0.29637714161175693 Nb0.2870057050437326 Ti0.07393519198212409 ,Co0.2222222222222222Cr0.2222222222222222Mo0.2222222222222222Nb0.2222222222222222Ti0.1111111111111111,0.05284956912190664,2.3852165388932156,0.0010437389037363737,3.9259259259259256,1.0842541347884067,-0.01314521343892854,71.93981666666667,323.70917499999996,-4.706355622942457,0.09612188030475949,0.23580246913580247,6.222222222222221,12.938271604938272,5.623333333333333,26.0,3.0,0.0,23.0,0,81.34666666666666,0.42063148038978027,18.44222222222222,-0.08885034970161955,3.88
Co1 Cr1 Mo1 Nb1 Ti1,Co1 Cr1 Mo1 Nb1 Ti1,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,22.0,42.0,20.0,31.2,8.24,22.0,43.0,58.0,15.0,49.4,3.6799999999999997,43.0,47.867,95.96,48.092999999999996,69.53253500000001,19.920524,47.867,1768.0,2896.0,1128.0,2307.0,412.8,1768.0,4.0,9.0,5.0,6.0,1.2,4.0,4.0,5.0,1.0,4.4,0.4800000000000001,4.0,126.0,164.0,38.0,148.6,12.88,126.0,1.54,2.16,0.6200000000000001,1.768,0.2016,1.54,1.0,2.0,1.0,1.4,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.6,1.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,6.0,1.2,4.0,0.0,1.0,1.0,0.6,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.4,1.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,6.0,1.2,3.0,10.245,18.18,7.9350000000000005,14.399000000000001,2.9452000000000003,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.30969874666666664,0.49550898133333343,0.0,194.0,229.0,35.0,215.0,16.8,194.0,1.4,0.0,4.6,0.0,False,0.09162682579073211,0.012493751288920281,Co0.16952232633694927 Cr0.14956765592716717 Mo0.2759730231623606 Nb0.26724676422421384 Ti0.1376902303493091 ,Co0.2Cr0.2Mo0.2Nb0.2Ti0.2,0.05215296379860311,2.296849681307678,-0.003804811954774756,3.8400000000000007,1.0840956899905156,-0.013380866803977112,69.532535,347.642675,-4.91955997780895,0.10468148043912016,0.25600000000000006,6.0,13.440000000000001,5.546,26.0,3.0,0.0,23.0,0,77.146,0.4513703836225327,18.793600000000005,-0.09783141396654739,5.07
Co1 Cu0.5 Fe1 Ni1 V1 Ti0.5,Co1 Cu0.5 Fe1 Ni1 V1 Ti0.5,6,0.42426406871192857,0.3239611801277484,0.26472116807053714,0.24393855425784636,0.2297508862927027,22.0,29.0,7.0,25.9,1.9400000000000006,23.0,43.0,64.0,21.0,54.7,5.8199999999999985,46.0,47.867,63.546,15.679000000000002,56.023919,3.735919,50.9415,1357.77,2183.0,825.23,1827.877,164.67379999999997,1728.0,4.0,11.0,7.0,7.9,1.94,5.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,160.0,36.0,136.2,11.479999999999995,124.0,1.54,1.91,0.3699999999999999,1.7939999999999998,0.11640000000000006,1.63,1.0,2.0,1.0,1.9,0.18000000000000008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,7.9,1.94,5.0,0.0,1.0,1.0,0.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.1,1.94,2.0,10.245,16.69,6.445000000000002,11.636999999999999,1.5597999999999996,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8509079933333332,0.7829272053333333,0.0,194.0,229.0,35.0,217.3,13.979999999999995,194.0,1.9,0.0,6.0,0.0,False,0.033645949486530435,0.004298662934193062,Co0.2103858353786353 Cu0.11342655268368498 Fe0.1993612763862521 Ni0.20952979030260271 V0.1818562532192723 Ti0.08544029202955258 ,Co0.2Cu0.1Fe0.2Ni0.2V0.2Ti0.1,0.043200086159141456,2.3302917514505768,-0.004171549128453622,2.6400000000000006,1.0809899007179515,-0.01453343193581219,56.023919000000014,280.119595,-7.787516055983217,0.09932709905861843,0.25450000000000006,7.900000000000001,11.400000000000002,4.518000000000002,27.0,1.0,0.0,26.0,0,64.34500000000001,0.2573525585479887,8.737100000000002,-0.033980402632711744,12.79
